"name","number"
"AAJ TAK","710"
"MATV National","711"
"Foodxp","712"
"ColorsRishtey","713"
"ColorsCineplex","714"
"SONY MAX HD","715"
"Utsav Gold HD","717"
"SONY SAB","718"
"SONY MAX 2","720"
"Aastha","724"
"Sanskar","725"
"MTA1 World HD","731"
"HUM Masala","732"
"Hidayat TV","733"
"GEO News","734"
"PTV Global","735"
"New Vision TV","736"
"Islam Channel","737"
"GEO TV","738"
"Noor TV","739"
"IQRA TV","742"
"92 News","743"
"Islam TV","744"
"Ahlebait TV","745"
"Madani Chnl","746"
"Takbeer TV","749"
"HUM EUROPE","751"
"British Muslim","752"
"Dunya News","754"
"Islam Ch Urdu","755"
"Channel 44","756"
"Eman Channel","757"
"ARY Digital","758"
"54227","759"
"Siraj TV","760"
"QTV Religious","761"
"PTC PUNJABI","766"
"Brit Asia TV","767"
"Sikh Channel","768"
"Sangat","769"
"Akaal Channel","770"
"Kanshi TV","772"
"Pitaara","773"
"PoliticsPunjab","774"
"PBC","775"
"CHSTV","777"
"IQRA Bangla","778"
"ATN","779"
"NTV","780"
"TV One","781"
"Deen TV","783"
"Islam Bangla","784"
"Ahlulbayt TV","787"
"SkyNewsArabia","788"
"ImamHussein3","789"
"PCNE Chinese HD","791"
"ColorsGujarati","794"
"BBC One Lon HD","801"
"BBC Two HD","802"
"ITV1 HD","803"
"Channel 4 HD","804"
"Channel 5 HD","805"
"Sky Showcase","806"
"Sky Witness","807"
"Sky Atlantic","808"
"alibi","809"
"GOLD","810"
"Dave","811"
"ComedyCentral","812"
"Sky Max","813"
"Sky Comedy","814"
"BBC Four HD","815"
"ITV2 HD","816"
"ITV3 HD","817"
"ITV4 HD","818"
"SkyDocumntrs","819"
"Sky Crime","820"
"Sky History","821"
"Sky Nature","822"
"Discovery","823"
"MTV","824"
"Nat Geo","825"
"Sky Arts","826"
"W","827"
"TLC","828"
"S4C HD","829"
"E4","830"
"More4","831"
"QUEST HD","834"
"E!","835"
"Sky Sci-Fi","836"
"Crime+Inv","837"
"Sky History2","840"
"Nat Geo Wild","841"
"BBCScotlandHD","844"
"BBC Three HD","845"
"YESTERDAY","846"
"BBC ALBA HD","847"
"SkyPremiereHD","848"
"Sky Greats HD","849"
"Sky Family HD","850"
"Sky Action HD","851"
"Film4","855"
"SkySpMainEvHD","859"
"SkySp PL HD","860"
"SkySp F'ball HD","861"
"SkySpCricket HD","862"
"SkySp Golf HD","863"
"SkySp F1 HD","864"
"SkySp ActionHD","865"
"SkySp ArenaHD","866"
"SkySp News","867"
"Eurosport 1","868"
"Eurosport 2","869"
"BT Sport 1 HD","870"
"BT Sport 2 HD","871"
"SkySp Racing HD","872"
"SkySp Mix","873"
"BT Sport 3 HD","874"
"MUTV","875"
"BT Sport 4 HD","876"
"Racing TV HD","877"
"Sky News","881"
"BBC NEWS HD","882"
"CNBC HD","883"
"CNN HD","884"
"TRT World HD","886"
"BBC Parliament HD","887"
"TJC HD","890"
"SONY TV","892"
"Utsav Plus","893"
"COLORS","894"
"SONY MAX","895"
"Utsav Gold","896"
"Zee TV","898"
"Sky Intro","899"
"Sky Intro","950"
"BBC One NE&C HD","955"
"BBC One Yorks HD","956"
"BBC One Y&L HD","957"
"BBC One N West HD","958"
"BBC One WM HD","959"
"BBC One E Mid HD","960"
"BBC One EastHD","961"
"BBC One S East HD","963"
"BBC One Sth HD","964"
"BBC One West HD","966"
"BBC One S West HD","967"
"BBC One CI HD","968"
"BBC Two NI HD","970"
"BBC One ScotHD","977"
"BBC One Wal HD","978"
"BBC One NI HD","979"
"BBC Two Wal HD","980"
"BBC RB 1","981"
"BBC RB 1 HD","982"
